CodigoPostal,Provincia,Canton,Distrito
10101,San Jose,San Jose,Carmen
10102,San Jose,San Jose,Merced
10103,San Jose,San Jose,Hospital
10104,San Jose,San Jose,Catedral
10105,San Jose,San Jose,Zapote
10106,San Jose,San Jose,San Francisco de Dos Rios
10107,San Jose,San Jose,Uruca
10108,San Jose,San Jose,Mata Redonda
10109,San Jose,San Jose,Pavas
10110,San Jose,San Jose,Hatillo
10111,San Jose,San Jose,San Sebastian
10201,San Jose,Escazu,Escazu
10202,San Jose,Escazu,San Antonio
10203,San Jose,Escazu,San Rafael
10301,San Jose,Desamparados,Desamparados
10302,San Jose,Desamparados,San Miguel
10303,San Jose,Desamparados,San Juan de Dios
10304,San Jose,Desamparados,San Rafael Arriba
10305,San Jose,Desamparados,San Antonio
10306,San Jose,Desamparados,Frailes
10307,San Jose,Desamparados,Patarra
10308,San Jose,Desamparados,San Cristobal
10309,San Jose,Desamparados,Rosario
10310,San Jose,Desamparados,Damas
10311,San Jose,Desamparados,San Rafael Abajo
10312,San Jose,Desamparados,Gravilias
10313,San Jose,Desamparados,Los Guido
10401,San Jose,Puriscal,Santiago
10402,San Jose,Puriscal,Mercedes Sur
10403,San Jose,Puriscal,Barbacoas
10404,San Jose,Puriscal,Grifo Alto
10405,San Jose,Puriscal,San Rafael
10406,San Jose,Puriscal,Candelaria
10407,San Jose,Puriscal,Desamparaditos
10408,San Jose,Puriscal,San Antonio
10409,San Jose,Puriscal,Chires
10501,San Jose,Tarrazu,San Marcos
10502,San Jose,Tarrazu,San Lorenzo
10503,San Jose,Tarrazu,San Carlos
10601,San Jose,Aserri,Aserri
10602,San Jose,Aserri,Tarbaca
10603,San Jose,Aserri,Vuelta de Jorco
10604,San Jose,Aserri,San Gabriel
10605,San Jose,Aserri,Legua
10606,San Jose,Aserri,Monterrey
10607,San Jose,Aserri,Salitrillos
10701,San Jose,Mora,Colon
10702,San Jose,Mora,Guayabo
10703,San Jose,Mora,Tabarcia
10704,San Jose,Mora,Piedras Negras
10705,San Jose,Mora,Picagres
10706,San Jose,Mora,Jaris
10707,San Jose,Mora,Quitirrisi
10801,San Jose,Goicoechea,Guadalupe
10802,San Jose,Goicoechea,San Francisco
10803,San Jose,Goicoechea,Calle Blancos
10804,San Jose,Goicoechea,Mata de Platano
10805,San Jose,Goicoechea,Ipis
10806,San Jose,Goicoechea,Rancho Redondo
10807,San Jose,Goicoechea,Purral
10901,San Jose,Santa Ana,Santa Ana
10902,San Jose,Santa Ana,Salitral
10903,San Jose,Santa Ana,Pozos
10904,San Jose,Santa Ana,Uruca
10905,San Jose,Santa Ana,Piedades
10906,San Jose,Santa Ana,Brasil
11001,San Jose,Alajuelita,Alajuelita
11002,San Jose,Alajuelita,San Josecito
11003,San Jose,Alajuelita,San Antonio
11004,San Jose,Alajuelita,Concepcion
11005,San Jose,Alajuelita,San Felipe
11101,San Jose,Vazquez de Coronado,San Isidro
11102,San Jose,Vazquez de Coronado,San Rafael
11103,San Jose,Vazquez de Coronado,Dulce Nombre de Jesus
11104,San Jose,Vazquez de Coronado,Patalillo
11105,San Jose,Vazquez de Coronado,Cascajal
11201,San Jose,Acosta,San Ignacio de Acosta
11202,San Jose,Acosta,Guaitil
11203,San Jose,Acosta,Palmichal
11204,San Jose,Acosta,Cangrejal
11205,San Jose,Acosta,Sabanillas
11301,San Jose,Tibas,San Juan
11302,San Jose,Tibas,Cinco esquinas
11303,San Jose,Tibas,Anselmo Llorente
11304,San Jose,Tibas,Leon XIII
11305,San Jose,Tibas,Colima
11401,San Jose,Moravia,San Vicente
11402,San Jose,Moravia,San Jeronimo
11403,San Jose,Moravia,Trinidad
11501,San Jose,Montes de Oca,San Pedro
11502,San Jose,Montes de Oca,Sabanilla
11503,San Jose,Montes de Oca,Mercedes
11504,San Jose,Montes de Oca,San Rafael
11601,San Jose,Turrubares,San Pablo
11602,San Jose,Turrubares,San Pedro
11603,San Jose,Turrubares,San Juan de Mata
11604,San Jose,Turrubares,San Luis
11605,San Jose,Turrubares,Carara
11701,San Jose,Dota,Santa Maria
11702,San Jose,Dota,Jardin
11703,San Jose,Dota,Copey
11801,San Jose,Curridabat,Curridabat
11802,San Jose,Curridabat,Granadilla
11803,San Jose,Curridabat,Sanchez
11804,San Jose,Curridabat,Tirrases
11901,San Jose,Perez Zeledon,San Isidro del General
11902,San Jose,Perez Zeledon,El General
11903,San Jose,Perez Zeledon,Daniel Flores
11904,San Jose,Perez Zeledon,Rivas
11905,San Jose,Perez Zeledon,San Pedro
11906,San Jose,Perez Zeledon,Platanares
11907,San Jose,Perez Zeledon,Pejibaye
11908,San Jose,Perez Zeledon,Cajon
11909,San Jose,Perez Zeledon,Baru
11910,San Jose,Perez Zeledon,Rio Nuevo
11911,San Jose,Perez Zeledon,Paramo
11912,San Jose,Perez Zeledon,La Amistad
12001,San Jose,Leon Cortes,San Pablo
12002,San Jose,Leon Cortes,San Andres
12003,San Jose,Leon Cortes,Llano Bonito
12004,San Jose,Leon Cortes,San Isidro
12005,San Jose,Leon Cortes,Santa Cruz
12006,San Jose,Leon Cortes,San Antonio
20101,Alajuela,Alajuela,Alajuela
20102,Alajuela,Alajuela,San Jose
20103,Alajuela,Alajuela,Carrizal
20104,Alajuela,Alajuela,San Antonio
20105,Alajuela,Alajuela,Guacima
20106,Alajuela,Alajuela,San Isidro
20107,Alajuela,Alajuela,Sabanilla
20108,Alajuela,Alajuela,San Rafael
20109,Alajuela,Alajuela,Rio Segundo
20110,Alajuela,Alajuela,Desamparados
20111,Alajuela,Alajuela,Turrucares
20112,Alajuela,Alajuela,Tambor
20113,Alajuela,Alajuela,Garita
20114,Alajuela,Alajuela,Sarapiqui
20201,Alajuela,San Ramon,San Ramon
20202,Alajuela,San Ramon,Santiago
20203,Alajuela,San Ramon,San Juan
20204,Alajuela,San Ramon,Piedades Norte
