CodigoProvincia,CodigoCanton,Provincia,Canton
1,101,San Jose,San Jose
1,102,San Jose,Escazu
1,103,San Jose,Desamparados
1,104,San Jose,Puriscal
1,105,San Jose,Tarrazu
1,106,San Jose,Aserri
1,107,San Jose,Mora
1,108,San Jose,Goicoechea
1,109,San Jose,Santa Ana
1,110,San Jose,Alajuelita
1,111,San Jose,Vazquez de Coronado
1,112,San Jose,Acosta
1,113,San Jose,Tibas
1,114,San Jose,Moravia
1,115,San Jose,Montes de Oca
1,116,San Jose,Turrubares
1,117,San Jose,Dota
1,118,San Jose,Curridabat
1,119,San Jose,Perez Zeledon
1,120,San Jose,Leon Cortes
2,201,Alajuela,Alajuela
2,202,Alajuela,San Ramon
2,203,Alajuela,Grecia
2,204,Alajuela,San Mateo
2,205,Alajuela,Atenas
2,206,Alajuela,Naranjo
2,207,Alajuela,Palmares
2,208,Alajuela,Poas
2,209,Alajuela,Orotina
2,210,Alajuela,San Carlos
2,211,Alajuela,Zarcero
2,212,Alajuela,Sarchi
2,213,Alajuela,Upala
2,214,Alajuela,Los Chiles
2,215,Alajuela,Guatuso
3,301,Cartago,Cartago
3,302,Cartago,Paraiso
3,303,Cartago,La Union
3,304,Cartago,Jimenez
3,305,Cartago,Turrialba
3,306,Cartago,Alvarado
3,307,Cartago,Oreamuno
3,308,Cartago,El Guarco
4,401,Heredia,Heredia
4,402,Heredia,Barva
4,403,Heredia,Santo Domingo
4,404,Heredia,Santa Barbara
4,405,Heredia,San Rafael
4,406,Heredia,San Isidro
4,407,Heredia,Belen
4,408,Heredia,Flores
4,409,Heredia,San Pablo
4,410,Heredia,Sarapiqui
5,501,Guanacaste,Liberia
5,502,Guanacaste,Nicoya
5,503,Guanacaste,Santa Cruz
5,504,Guanacaste,Bagaces
5,505,Guanacaste,Carrillo
5,506,Guanacaste,Canas
5,507,Guanacaste,Abangares
5,508,Guanacaste,Tilaran
5,509,Guanacaste,Nandayure
5,510,Guanacaste,La Cruz
5,511,Guanacaste,Hojancha
6,601,Puntarenas,Puntarenas
6,602,Puntarenas,Esparza
6,603,Puntarenas,Buenos Aires
6,604,Puntarenas,Montes de Oro
6,605,Puntarenas,Osa
6,606,Puntarenas,Aguirre
6,607,Puntarenas,Golfito
6,608,Puntarenas,Coto Brus
6,609,Puntarenas,Parrita
6,610,Puntarenas,Corredores
6,611,Puntarenas,Garabito
7,701,Limon,Limon
7,702,Limon,Pococi
7,703,Limon,Siquirres
7,704,Limon,Talamanca
7,705,Limon,Matina
7,706,Limon,Guacimo
