CodigoProvincia,CodigoCanton,CodigoDistrito,Provincia,Canton,Distrito,RegionINEC
1,101,10101,San José,San José,Carmen,Central
1,101,10102,San José,San José,Merced,Central
1,101,10103,San José,San José,Hospital,Central
1,101,10104,San José,San José,Catedral,Central
1,101,10105,San José,San José,Zapote,Central
1,101,10106,San José,San José,San Francisco de Dos Ríos,Central
1,101,10107,San José,San José,Uruca,Central
1,101,10108,San José,San José,Mata Redonda,Central
1,101,10109,San José,San José,Pavas,Central
1,101,10110,San José,San José,Hatillo,Central
1,101,10111,San José,San José,San Sebastian,Central
1,102,10201,San José,Escazú,Escazú,Central
1,102,10202,San José,Escazú,San Antonio,Central
1,102,10203,San José,Escazú,San Rafael,Central
1,103,10301,San José,Desamparados,Desamparados,Central
1,103,10302,San José,Desamparados,San Miguel,Central
1,103,10303,San José,Desamparados,San Juan de Dios,Central
1,103,10304,San José,Desamparados,San Rafael Arriba,Central
1,103,10305,San José,Desamparados,San Antonio,Central
1,103,10306,San José,Desamparados,Frailes,Central
1,103,10307,San José,Desamparados,Patarra,Central
1,103,10308,San José,Desamparados,San Cristobal,Central
1,103,10309,San José,Desamparados,Rosario,Central
1,103,10310,San José,Desamparados,Damas,Central
1,103,10311,San José,Desamparados,San Rafael Abajo,Central
1,103,10312,San José,Desamparados,Gravilias,Central
1,103,10313,San José,Desamparados,Los Guido,Central
1,104,10401,San José,Puriscal,Santiago,Central
1,104,10402,San José,Puriscal,Mercedes Sur,Central
1,104,10403,San José,Puriscal,Barbacoas,Central
1,104,10404,San José,Puriscal,Grifo Alto,Central
1,104,10405,San José,Puriscal,San Rafael,Central
1,104,10406,San José,Puriscal,Candelaria,Central
1,104,10407,San José,Puriscal,Desamparaditos,Central
1,104,10408,San José,Puriscal,San Antonio,Central
1,104,10409,San José,Puriscal,Chires,Central
1,105,10501,San José,Tarrazu,San Marcos,Central
1,105,10502,San José,Tarrazu,San Lorenzo,Central
1,105,10503,San José,Tarrazu,San Carlos,Central
1,106,10601,San José,Aserrí,Aserrí,Central
1,106,10602,San José,Aserrí,Tarbaca,Central
1,106,10603,San José,Aserrí,Vuelta de Jorco,Central
